epochs,d_hidden,wd,noise_std,kernel_size,final_train_acc,final_val_acc
20,128,0.1,0.5,28,0.9520979256465517,0.9684000015258789
20,128,0.1,0.0,28,0.9765119881465517,0.9681999683380127
5,128,1.0,0.5,3,0.9458512931034483,0.9681999683380127
5,64,0.0,0.0,3,0.9698107489224138,0.9679999947547913
5,64,0.1,0.0,3,0.9696087015086207,0.967799961566925
5,64,0.0,0.25,3,0.9646753771551724,0.967799961566925
5,64,0.1,0.25,3,0.9645238415948276,0.9677000045776367
20,128,0.5,0.0,28,0.9751481681034483,0.9675999879837036
20,128,1.0,0.25,28,0.9656351023706896,0.9674999713897705
5,64,0.5,0.0,3,0.9688510237068966,0.9673999547958374
20,128,0.5,0.5,28,0.9516433189655172,0.967199981212616
5,64,0.5,0.25,3,0.9637830010775862,0.9668999910354614
20,128,1.0,0.0,28,0.9734981142241379,0.9664999842643738
5,64,1.0,0.0,3,0.9677734375,0.9664999842643738
20,128,1.0,0.5,28,0.9503468480603449,0.9660999774932861
5,64,1.0,0.25,3,0.9627896012931034,0.965999960899353
5,64,0.1,0.5,3,0.9420123922413793,0.9644999504089355
5,64,0.0,0.5,3,0.9421470905172413,0.9643999934196472
20,64,0.0,0.25,28,0.9603145204741379,0.964199960231781
5,64,0.5,0.5,3,0.9412042025862069,0.9641000032424927
20,64,0.1,0.25,28,0.9598767510775862,0.9638999700546265
20,64,0.0,0.0,28,0.9696928879310345,0.963699996471405
20,64,0.1,0.0,28,0.9692046066810345,0.9633999466896057
20,64,0.5,0.25,28,0.95849609375,0.9633999466896057
10,256,0.0,0.25,28,0.9585971174568966,0.9631999731063843
5,64,1.0,0.5,3,0.9402613146551724,0.9631999731063843
10,256,0.1,0.25,28,0.9584624191810345,0.9630999565124512
20,64,0.0,0.5,28,0.9427027209051724,0.9627999663352966
10,256,0.5,0.25,28,0.9575026939655172,0.9625999927520752
10,256,0.1,0.0,28,0.9658539870689655,0.962399959564209
20,64,0.1,0.5,28,0.9422481142241379,0.962399959564209
10,256,0.0,0.0,28,0.9659718480603449,0.9623000025749207
20,64,0.5,0.0,28,0.9679923221982759,0.9619999527931213
10,256,0.5,0.0,28,0.9649784482758621,0.9619999527931213
10,256,1.0,0.0,28,0.9638840247844828,0.9612999558448792
10,256,1.0,0.25,28,0.9566945043103449,0.9612999558448792
20,64,1.0,0.0,28,0.9663254310344828,0.9610999822616577
20,64,1.0,0.25,28,0.9563072467672413,0.9609999656677246
10,256,0.1,0.5,28,0.9400929418103449,0.9606999754905701
10,256,0.0,0.5,28,0.9402108028017241,0.960599958896637
20,64,0.5,0.5,28,0.9412378771551724,0.960099995136261
10,256,0.5,0.5,28,0.9392679148706896,0.960099995136261
10,256,1.0,0.5,28,0.9382071659482759,0.9592999815940857
20,64,1.0,0.5,28,0.9398572198275862,0.9585999846458435
10,128,0.0,0.0,28,0.9587486530172413,0.9553999900817871
10,128,0.1,0.0,28,0.9584119073275862,0.9553999900817871
10,128,0.0,0.25,28,0.9488483297413793,0.9551999568939209
10,128,0.1,0.25,28,0.9485789331896551,0.9550999999046326
10,128,0.5,0.25,28,0.9477875808189655,0.9544999599456787
10,128,0.5,0.0,28,0.9574016702586207,0.9541999697685242
10,128,1.0,0.0,28,0.9563577586206896,0.9536999464035034
10,128,0.0,0.5,28,0.928643588362069,0.9536999464035034
10,128,1.0,0.25,28,0.9464742726293104,0.953499972820282
10,128,0.1,0.5,28,0.9283068426724138,0.9532999992370605
10,128,0.5,0.5,28,0.9273976293103449,0.9520999789237976
10,128,1.0,0.5,28,0.9257475754310345,0.9515999555587769
10,64,0.0,0.0,28,0.9489493534482759,0.9472000002861023
10,64,0.1,0.0,28,0.9487473060344828,0.9467999935150146
10,64,0.0,0.25,28,0.9379040948275862,0.946399986743927
10,64,0.1,0.25,28,0.937567349137931,0.9460999965667725
10,64,0.5,0.0,28,0.94775390625,0.9457999467849731
10,64,0.5,0.25,28,0.9365739493534483,0.9455999732017517
10,64,1.0,0.0,28,0.9463058997844828,0.9440999627113342
10,64,1.0,0.25,28,0.9354458512931034,0.9440999627113342
5,256,0.0,0.0,28,0.9439486799568966,0.9434999823570251
5,256,0.1,0.0,28,0.9436961206896551,0.9431999921798706
10,64,0.0,0.5,28,0.9154431573275862,0.9430999755859375
10,64,0.1,0.5,28,0.9153758081896551,0.9429999589920044
5,256,0.5,0.0,28,0.9431236530172413,0.9425999522209167
5,256,0.0,0.25,28,0.9326676993534483,0.9420999884605408
5,256,0.1,0.25,28,0.9324656519396551,0.9419999718666077
5,256,1.0,0.0,28,0.9427363954741379,0.9417999982833862
5,256,0.5,0.25,28,0.9318763469827587,0.94159996509552
10,64,0.5,0.5,28,0.9140625,0.94159996509552
5,256,1.0,0.25,28,0.9312028556034483,0.9408999681472778
10,64,1.0,0.5,28,0.9124461206896551,0.939799964427948
5,256,0.0,0.5,28,0.9098868534482759,0.9396999478340149
5,256,0.1,0.5,28,0.9098195043103449,0.9395999908447266
5,256,0.5,0.5,28,0.9090449892241379,0.9390999674797058
5,256,1.0,0.5,28,0.9084556842672413,0.937999963760376
5,128,0.1,0.0,28,0.9338631465517241,0.9333999752998352
5,128,0.0,0.0,28,0.93408203125,0.9332999587059021
5,128,0.5,0.0,28,0.9332233297413793,0.9330999851226807
5,128,0.0,0.25,28,0.9217739762931034,0.9325000047683716
5,128,0.1,0.25,28,0.9215719288793104,0.9321999549865723
5,128,1.0,0.0,28,0.9324993265086207,0.9319999814033508
5,128,0.5,0.25,28,0.9210331357758621,0.9319999814033508
5,128,1.0,0.25,28,0.9203764816810345,0.930899977684021
5,128,0.0,0.5,28,0.8973767510775862,0.9294999837875366
5,128,0.1,0.5,28,0.8972252155172413,0.9291999936103821
5,64,0.0,0.0,28,0.9273807920258621,0.9289000034332275
5,64,0.1,0.0,28,0.9272629310344828,0.9286999702453613
5,128,0.5,0.5,28,0.8967537715517241,0.9281999468803406
5,64,0.5,0.0,28,0.9265052532327587,0.9277999997138977
5,128,1.0,0.5,28,0.8956256734913793,0.9275999665260315
5,64,0.1,0.25,28,0.9136247306034483,0.9269999861717224
5,64,1.0,0.0,28,0.9257644127155172,0.9268999695777893
5,64,0.0,0.25,28,0.9136752424568966,0.9267999529838562
5,64,0.5,0.25,28,0.9132374730603449,0.9259999990463257
5,64,1.0,0.25,28,0.9124292834051724,0.9256999492645264
5,64,0.0,0.5,28,0.8860452586206896,0.9228999614715576
5,64,0.1,0.5,28,0.8859610721982759,0.9228000044822693
5,64,0.5,0.5,28,0.8855738146551724,0.92249995470047
5,64,1.0,0.5,28,0.8851360452586207,0.9214999675750732
