epochs,d_hidden,wd,noise_std,kernel_size,final_train_acc,final_val_acc
10,256,0.1,0.5,14,0.9781957165948276,0.9861999750137329
20,256,0.0,0.5,7,0.9776905980603449,0.9861999750137329
10,256,0.0,0.25,7,0.9923558728448276,0.9860999584197998
10,256,0.5,0.25,7,0.9918170797413793,0.9860999584197998
20,64,0.5,0.25,14,0.9890726023706896,0.9860999584197998
20,64,1.0,0.25,14,0.9881465517241379,0.9860999584197998
10,256,0.0,0.5,14,0.9782293911637931,0.9860999584197998
10,256,0.0,0.0,7,0.9971208243534483,0.9860000014305115
10,256,0.1,0.25,7,0.9922380118534483,0.9860000014305115
10,256,1.0,0.25,7,0.9915308459051724,0.9860000014305115
10,256,0.0,0.25,14,0.9914634967672413,0.9860000014305115
10,256,0.1,0.25,14,0.9914129849137931,0.9860000014305115
10,256,1.0,0.25,14,0.9904532596982759,0.9860000014305115
20,256,1.0,0.5,7,0.9781620420258621,0.9860000014305115
10,256,0.1,0.0,7,0.9970366379310345,0.9858999848365784
10,256,0.5,0.0,7,0.9964978448275862,0.9858999848365784
20,256,1.0,0.0,7,0.9994612068965517,0.9857999682426453
20,128,0.5,0.25,5,0.9918002424568966,0.9857999682426453
10,256,0.5,0.5,14,0.9780778556034483,0.9857999682426453
20,64,0.0,0.5,14,0.977118130387931,0.9857999682426453
20,64,0.1,0.5,14,0.9771012931034483,0.9857999682426453
20,64,0.5,0.5,14,0.9767477101293104,0.9857999682426453
20,128,1.0,0.0,14,0.9959927262931034,0.9856999516487122
10,256,1.0,0.0,7,0.9958411907327587,0.9856999516487122
20,128,1.0,0.25,5,0.9910594019396551,0.9856999516487122
10,256,0.5,0.25,14,0.9910425646551724,0.9856999516487122
20,64,0.0,0.25,14,0.9897797683189655,0.9856999516487122
20,64,0.1,0.25,14,0.9896113954741379,0.9856999516487122
10,128,0.0,0.25,7,0.9894598599137931,0.9856999516487122
10,128,0.1,0.25,7,0.9894261853448276,0.9856999516487122
10,256,1.0,0.5,14,0.9775558997844828,0.9856999516487122
20,128,1.0,0.0,7,0.9975922683189655,0.9855999946594238
20,64,0.5,0.0,14,0.9933155980603449,0.9855999946594238
10,128,0.5,0.25,7,0.9890557650862069,0.9855999946594238
